224477,224477,26000,2277,26687,84856,10.76.1.254,001280900CC2,customertwonetwork1,10.76.1.0,false,null
224466,224466,25999,2245,26686,84855,10.76.231.254,001280900CC6,network2forsite2,10.76.231.0,false,null
224466,224466,25998,2244,26685,84854,10.76.231.254,001280900CC6,managednetworkforsite1,10.76.231.0,false,null
